signal,seg,h,n,ep,mean,med,hit,base_mean,base_hit,edge,p_shift,mae
comm_short|pct13>=0.15,ALL,8,43,9.0,0.011089799005932712,-0.0007813573293035114,0.46511627906976744,0.026672622775896472,0.6102719033232629,-0.01558282376996376,0.6876,-0.018763080960731343
comm_short|pct13>=0.15,ALL,13,43,9.0,0.029734622376948294,0.027978544725578258,0.6744186046511628,0.045571562169968736,0.6779141104294478,-0.015836939793020442,0.5904,-0.024600338307723613
comm_short|pct13>=0.15,ALL,26,43,9.0,0.06673022627183084,0.06784504951320813,0.6744186046511628,0.09718082370740687,0.7635782747603834,-0.03045059743557603,0.5688,-0.03792841886825119
comm_short|pct13>=0.15,2023+,4,32,6.0,0.014702524022872112,0.00391551664623857,0.5625,0.01849698735368388,0.6424581005586593,-0.0037944633308117683,0.409,-0.008174978218292536
comm_short|pct13>=0.15,2023+,8,32,6.0,0.01825464229607078,0.005041179262764095,0.5,0.04127644240856628,0.68,-0.0230218001124955,0.5802,-0.015097718652551523
comm_short|pct13>=0.15,2023+,13,32,6.0,0.040312840550902396,0.030659218016140355,0.78125,0.07129724925888474,0.8058823529411765,-0.030984408707982344,0.489,-0.018423762855516574
comm_short|pct13>=0.15,2023+,26,32,6.0,0.10189368533218121,0.13586795701433385,0.78125,0.16260157757521554,0.9235668789808917,-0.06070789224303433,0.4654,-0.026198942189437992
comm_short|pct13>=0.15,2020-22,4,11,4.0,0.0038298725173110796,-0.012941693404998844,0.45454545454545453,0.00588844866049347,0.5448717948717948,-0.0020585761431823903,0.6238,-0.01600299808531268
comm_short|pct13>=0.15,2020-22,8,11,4.0,-0.009753381474468944,-0.036500657065465125,0.36363636363636365,0.010290132803350205,0.532051282051282,-0.020043514277819148,0.824,-0.02942595312998173
comm_short|pct13>=0.15,2020-22,13,11,4.0,-0.0010383759472818242,-0.018678670726863467,0.36363636363636365,0.0175371595730731,0.5384615384615384,-0.018575535520354923,0.7848,-0.04256855780505318
comm_short|pct13>=0.15,2020-22,26,11,4.0,-0.035563472812824744,-0.028261860702121333,0.36363636363636365,0.03134070603275328,0.6025641025641025,-0.06690417884557803,0.9396,-0.07205053284298049
